ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,impfungen_pro_1_000_einwohner,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in,notes,rs
2020-12-28T15:15:00Z,2020-12-28T14:39:57Z,Sachsen,SN,182,NA,NA,90,69,0,113,NA,NA
2020-12-28T15:15:00Z,2020-12-28T14:39:57Z,Sachsen-Anhalt,ST,1504,1357,NA,669,644,0,847,In Sachsen-Anhalt wurde bereits am 26.12.2020 mit den Impfungen begonnen.,NA
2020-12-28T15:15:00Z,2020-12-28T14:39:57Z,Schleswig-Holstein,SH,809,NA,NA,213,239,344,553,NA,NA
2020-12-28T15:15:00Z,2020-12-28T14:39:57Z,Thüringen,TH,99,NA,NA,49,50,NA,49,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Baden-Württemberg,BW,4721,2560,NA,1720,1877,326,192,einschl. Korrekturmeldung vom 27.12.20,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Bayern,BY,5219,1830,NA,1457,1830,91,2423,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Berlin,BE,3839,2213,NA,3340,517,105,3322,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Brandenburg,BB,107,75,NA,60,47,NA,60,einschl. Korrekturmeldung vom 27.12.20,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Bremen,HB,592,174,NA,276,133,NA,278,einschl. Korrekturmeldung vom 27.12.20,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Hamburg,HH,1071,626,NA,507,471,NA,600,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Hessen,HE,4354,1242,NA,1480,2425,287,1702,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Mecklenburg-Vorpommern,MV,4170,3488,NA,100,1862,2,2209,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Niedersachsen,NI,835,501,NA,79,370,141,552,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Nordrhein-Westfalen,NW,7136,518,NA,NA,1788,NA,5348,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Rheinland-Pfalz,RP,1462,210,NA,NA,715,NA,747,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Saarland,SL,862,647,NA,658,51,NA,466,NA,NA
