ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_neu,indikation_nach_alter_neu,medizinische_indikation_neu,berufliche_indikation_neu,pflegeheim_bewohner_in_neu,notes
2020-12-28T15:15:00Z,2020-12-28T14:39:57Z,Sachsen,SN,NA,90,0,69,113,NA
2020-12-28T15:15:00Z,2020-12-28T14:39:57Z,Sachsen-Anhalt,ST,1357,669,0,644,847,In Sachsen-Anhalt wurde bereits am 26.12.2020 mit den Impfungen begonnen.
2020-12-28T15:15:00Z,2020-12-28T14:39:57Z,Schleswig-Holstein,SH,NA,213,344,239,553,NA
2020-12-28T15:15:00Z,2020-12-28T14:39:57Z,Thüringen,TH,NA,49,NA,50,49,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Baden-Württemberg,BW,2560,1096,175,913,192,einschl. Korrekturmeldung vom 27.12.20
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Bayern,BY,1830,463,23,779,803,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Berlin,BE,2213,1924,0,289,1924,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Brandenburg,BB,75,-20,NA,27,48,einschl. Korrekturmeldung vom 27.12.20
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Bremen,HB,174,71,NA,46,278,einschl. Korrekturmeldung vom 27.12.20
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Hamburg,HH,626,310,NA,249,377,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Hessen,HE,1242,394,133,731,355,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Mecklenburg-Vorpommern,MV,3488,100,2,1622,1859,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Niedersachsen,NI,501,37,1,254,246,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Nordrhein-Westfalen,NW,518,NA,NA,418,1363,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Rheinland-Pfalz,RP,210,NA,NA,95,115,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Saarland,SL,647,490,NA,47,255,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Sachsen,SN,675,150,1,482,192,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Sachsen-Anhalt,ST,2481,923,124,1034,1445,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Schleswig-Holstein,SH,1686,375,240,289,583,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Thüringen,TH,158,86,NA,71,86,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Baden-Württemberg,BW,3509,1523,191,1117,741,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Bayern,BY,7716,1553,123,3743,2891,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Berlin,BE,2457,1578,0,879,1577,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Brandenburg,BB,1442,50,13,1383,63,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Bremen,HB,467,252,3,68,301,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Hamburg,HH,428,197,0,190,239,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Hessen,HE,5094,1561,213,2667,2123,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Mecklenburg-Vorpommern,MV,3711,-13,2,2149,1022,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Niedersachsen,NI,692,4,4,454,242,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Nordrhein-Westfalen,NW,3857,0,0,983,3274,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Rheinland-Pfalz,RP,822,0,0,296,526,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Saarland,SL,656,519,0,50,245,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Sachsen,SN,812,-90,0,743,-113,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Sachsen-Anhalt,ST,3302,1028,138,1531,1650,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Schleswig-Holstein,SH,1893,428,287,1330,562,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Thüringen,TH,415,91,0,131,192,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Baden-Württemberg,BW,4407,2104,246,1202,898,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Bayern,BY,15104,2821,210,8408,5033,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Berlin,BE,2788,1636,0,1337,1451,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Brandenburg,BB,1483,94,7,1382,101,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Bremen,HB,601,293,2,207,-69,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Hamburg,HH,541,128,NA,381,160,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Hessen,HE,6226,1636,212,3589,2687,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Mecklenburg-Vorpommern,MV,3640,86,3,2338,1420,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Niedersachsen,NI,1178,213,170,688,629,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Nordrhein-Westfalen,NW,7359,NA,NA,3839,5071,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Rheinland-Pfalz,RP,1673,NA,NA,930,1033,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Saarland,SL,601,464,NA,60,188,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Sachsen,SN,1166,0,0,1166,0,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Sachsen-Anhalt,ST,2813,487,38,1859,873,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Schleswig-Holstein,SH,1747,369,304,1503,543,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Thüringen,TH,138,6,NA,45,86,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Baden-Württemberg,BW,4295,2231,274,1227,862,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Bayern,BY,9749,2009,294,4469,3918,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Berlin,BE,2030,475,0,219,1811,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Brandenburg,BB,183,0,0,183,0,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Bremen,HB,50,0,1,0,-273,NA
